Location,Crossnumber,Repeat_Pollination_Date
Arusha,NM201904_(152711C1/161582),2019-04-11
Arusha,NM201904_(152672C1/161554),2019-04-12
Arusha,NM201904_(152994C1/161582),2019-04-15
Arusha,NM201904_(152680C1/161554),2019-04-17
Arusha,NM201904_(136629C2/161582),2019-04-19
Arusha,NM201904_(136568C2/161503),2019-04-24
Arusha,NM201904_(136584C2/136604),2019-04-25
Arusha,NM201904_(153038C1/136604),2019-04-26
Arusha,NM201904_(152575C1/161503),2019-04-29
Arusha,NM201905_(152657C1/161554),2019-05-03
Arusha,NM201905_(153006C1/161554),2019-05-06
Arusha,NM201905_(152973C1/161554),2019-05-09
Arusha,NM201905_(152989C1/161503),2019-05-14
Arusha,NM201903_(152610C1/161582),2019-03-29
Arusha,NM201904_(152392C1/161582),2019-04-09
Arusha,NM201904_(152392C1/161582),2019-04-10
Arusha,NM201904_(152392C1/161582),2019-04-11
Arusha,NM201904_(152711C1/161582),2019-04-15
Arusha,NM201904_(152952C1/136604),2019-04-17
Arusha,NM201904_(152454C1/136604),2019-04-18
Arusha,NM201904_(136523C2/161503),2019-04-24
Arusha,NM201904_(152625C1/161503),2019-04-25
Arusha,NM201904_(152659C1/161503),2019-04-26
Arusha,NM201904_(152559C1/161554),2019-05-03
Arusha,NM201904_(153109C1/161554),2019-05-06
Arusha,NM201903_(152802C1/161424),2019-03-20
Arusha,NM201903_(152636C1/161582),2019-03-21
Arusha,NM201903_(152636C1/161582),2019-03-22
Arusha,NM201904_(153101C1/161503),2019-04-11
Arusha,NM201904_(152392C1/161582),2019-04-15
Arusha,NM201904_(152921C1/161554),2019-04-17
Arusha,NM201904_(152467C1/136604),2019-04-19
Arusha,NM201904_(136532C2/136604),2019-04-23
Arusha,NM201904_(152659C1/161503),2019-04-24
Arusha,NM201904_(153154C1/161503),2019-04-25
Arusha,NM201904_(152575C1/161503),2019-04-26
Arusha,NM201905_(152657C1/161554),2019-05-06
Arusha,NM201903_(152636C1/161582),2019-03-20
Arusha,NM201903_(152574C1/161582),2019-03-22
Arusha,NM201904_(152644C1/161582),2019-04-09
Arusha,NM201904_(152644C1/161582),2019-04-10
Arusha,NM201904_(152644C1/161582),2019-04-11
Arusha,NM201904_(153101C1/161503),2019-04-15
Arusha,NM201904_(153101C1/161503),2019-04-17
Arusha,NM201904_(152454C1/136604),2019-04-19
Arusha,NM201904_(136584C2/136604),2019-04-23
Arusha,NM201904_(152575C1/161503),2019-04-24
Arusha,NM201904_(152575C1/161503),2019-04-25
Arusha,NM201904_(153154C1/161503),2019-04-26
Arusha,NM201903_(152591C1/161582),2019-03-20
Arusha,NM201903_(153098C1/161582),2019-03-22
Arusha,NM201903_(153107C1/161468),2019-04-03
Arusha,NM201904_(152644C1/161582),2019-04-15
Arusha,NM201904_(152400C1/136604),2019-04-17
Arusha,NM201904_(152573C1/136604),2019-04-19
Arusha,NM201904_(153038C1/136604),2019-04-24
Arusha,NM201904_(152659C1/161503),2019-04-25
