FemalePlotName,Crossnumber_1,Crossnumber_2,number_crosses
16NM_ITC1468-Kahuti_plot48_r3c6,NM201812_(136644C2/161503),,1
16NM_ITC1468-Kahuti_plot50_r3c8,NM201812_(136652C2/161584),,1
16NM_ITC1468-Kahuti_plot75_r4c10,NM201812_(136681C2/161584),,1
16NM_ITC1460-IjihuInkundu_plot278_r14c17,NM201812_(136691C2/161584),,1
16NM_Huti-white_plot211r11c1,NM201812_(152405C1/161554),,1
16NM_Huti-white_plot756r36c1,NM201812_(152650C1/161503),,1
16NM_Huti-white_plot714r34c1,NM201812_(153012C1/161584),,1
16NM_Huti-white_plot19r1c19,NM201812_(153130C1/161584),,1
16NM_ITC1468-Kahuti_plot102_r5c18,NM201901_(136290C2/161584),,1
16NM_MchareLaini_plot194_r10c17,NM201901_(136299C2/161584),,1
16NM_ITC1468-Kahuti_plot35_r2c8,NM201901_(136310C2/136706),,1
16NM_ITC1455-MchareMlelembo_plot382_r19c4,NM201901_(136332C2/136295),,1
16NM_ITC1460-IjihuInkundu_plot311_r15c17,NM201901_(136339C2/136706),,1
16NM_ITC1455-MchareMlelembo_plot361_r18c18,NM201901_(136353C2/161503),,1
16NM_ITC1460-IjihuInkundu_plot355_r17c19,NM201901_(136382C2/161503),,1
16NM_MchareLaini_plot246_r12c7,NM201901_(136408C2/161503),NM201904_(136408C3/161582),2
16NM_Huti-white_plot152_r8c17,NM201901_(136425C2/161503),,1
16NM_Huti-white_plot189_r9c21,NM201901_(136426C2/161584),,1
16NM_ITC1468-Kahuti_plot41_r2c2,NM201901_(136445C2/161584),,1
16NM_MchareLaini_plot217_r11c7,NM201901_(136481C2/161503),,1
16NM_ITC1468-Kahuti_plot94_r5c10,NM201901_(136502C2/161503),,1
16NM_Huti-white_plot109_r6c18,NM201901_(136533C2/136706),NM201902_(136533C3/136490),2
16NM_MchareLaini_plot228_r11c18,NM201901_(136578C2/161503),,1
16NM_MchareLaini_plot191_r10c20,NM201901_(136586C2/161584),,1
16NM_ITC1460-IjihuInkundu_plot352_r17c16,NM201901_(136597C2/136392),,1
16NM_MchareLaini_plot251_r12c2,NM201901_(136602C2/161477),,1
16NM_ITC1468-Kahuti_plot88_r5c4,NM201901_(136672C2/161503),,1
16NM_MchareLaini_plot245_r12c8,NM201901_(136698C2/161506),,1
16NM_Huti-white_plot797r38c2,NM201901_(152720C1/161503),,1
16NM_Huti-white_plot589r29c1,NM201901_(152744C1/161506),,1
16NM_Huti-white_plot776r37c20,NM201901_(152851C1/161564),,1
16NM_Huti-white_plot315r15c21,NM201901_(152942C1/161461),,1
16NM_Huti-white_plot190r10c21,NM201901_(153009C1/161584),,1
16NM_Huti-white_plot779r38c20,NM201901_(153017C1/161564),,1
16NM_Huti-white_plot148r8c21,NM201901_(153020C1/161548),,1
16NM_Huti-white_plot504r24c1,NM201901_(153023C1/161503),,1
16NM_Huti-white_plot547r27c1,NM201901_(153119C1/161506),,1
16NM_Huti-white_plot210r10c1,NM201901_(153120C1/161503),,1
16NM_Huti-white_plot799r39c1,NM201901_(153162C1/161503),,1
16NM_Huti-white_plot105r5c21,NM201901_(153163C1/161548),,1
16NM_ITC1460-IjihuInkundu_plot350_r17c14,NM201902_(136320C2/161541),,1
16NM_ITC1460-IjihuInkundu_plot280_r14c15,NM201902_(136350C2/161541),,1
16NM_ITC1455-MchareMlelembo_plot440_r21c20,NM201902_(136412C2/161412),,1
16NM_ITC1468-Kahuti_plot100_r5c16,NM201902_(136467C2/161477),,1
16NM_MchareLaini_plot254_r13c2,NM201902_(136478C3/161541),,1
16NM_Huti-white_plot143_r7c17,NM201902_(136485C2/161503),,1
16NM_ITC1468-Kahuti_plot36_r2c7,NM201902_(136499C2/161584),,1
16NM_ITC1455-MchareMlelembo_plot371_r18c8,NM201902_(136562C2/161584),,1
16NM_MchareLaini_plot212_r11c2,NM201902_(136596C2/161582),,1
16NM_MchareLaini_plot232_r12c21,NM201902_(136635C2/136677),,1
16NM_ITC1468-Kahuti_plot105_r5c21,NM201902_(136705C2/161582),NM201905_(136705C3/161446),2
16NM_Huti-white_plot146_r7c20,NM201902_(136714C2/161582),,1
16NM_Huti-white_plot358r18c21,NM201902_(152370C1/161582),,1
16NM_Huti-white_plot798r38c1,NM201902_(152376C1/161582),,1
16NM_Huti-white_plot337r17c1,NM201902_(152411C1/161582),,1
16NM_Huti-white_plot62r3c20,NM201902_(152416C1/161582),,1
16NM_Huti-white_plot758r37c2,NM201902_(152427C1/161477),,1
16NM_Huti-white_plot234r12c19,NM201902_(152443C1/161477),,1
16NM_Huti-white_plot716r35c2,NM201902_(152457C1/161477),,1
16NM_Huti-white_plot43r3c1,NM201902_(152459C1/161582),,1
16NM_Huti-white_plot379r19c1,NM201902_(152491C1/161503),,1
16NM_Huti-white_plot295r15c1,NM201902_(152499C1/161582),,1
16NM_Huti-white_plot64r4c21,NM201902_(152513C1/161582),,1
16NM_Huti-white_plot734r35c20,NM201902_(152530C1/161477),,1
16NM_Huti-white_plot800r39c2,NM201902_(152544C1/161541),,1
16NM_Huti-white_plot717r35c3,NM201902_(152694C1/161477),,1
16NM_Huti-white_plot167r8c2,NM201902_(152708C1/136604),,1
16NM_Huti-white_plot274r14c21,NM201902_(152727C1/161584),,1
16NM_Huti-white_plot192r10c19,NM201902_(152746C1/161541),,1
16NM_Huti-white_plot818r39c20,NM201902_(152754C1/161477),,1
16NM_Huti-white_plot150r8c19,NM201902_(152756C1/136677),,1
16NM_Huti-white_plot316r16c21,NM201902_(152798C1/161477),,1
16NM_Huti-white_plot273r13c21,NM201902_(152842C1/161541),,1
16NM_Huti-white_plot819r39c21,NM201902_(152850C1/161477),,1
16NM_Huti-white_plot104r5c20,NM201902_(152854C1/161541),,1
16NM_Huti-white_plot801r39c3,NM201902_(152862C1/161541),,1
16NM_Huti-white_plot755r36c2,NM201902_(152961C1/161477),NM201902_(152961C2/136653),2
16NM_Huti-white_plot630r30c1,NM201902_(152976C1/161582),,1
16NM_Huti-white_plot546r26c1,NM201902_(152995C1/161503),,1
16NM_Huti-white_plot106r6c21,NM201902_(153028C1/161477),,1
16NM_Huti-white_plot147r7c21,NM201902_(153054C1/136510),,1
16NM_Huti-white_plot357r17c21,NM201902_(153088C1/161477),,1
16NM_Huti-white_plot252r12c1,NM201902_(153145C1/161541),,1
16NM_ITC1468-Kahuti_plot93_r5c9,NM201903_(136315C2/161582),,1
16NM_ITC1468-Kahuti_plot101_r5c17,NM201903_(136335C2/136510),,1
16NM_ITC1468-Kahuti_plot37_r2c6,NM201903_(136391C2/161582),,1
16NM_ITC1468-Kahuti_plot68_r4c17,NM201903_(136457C2/161582),,1
16NM_Huti-white_plot116_r6c11,NM201903_(136462C2/161582),,1
16NM_Huti-white_plot144_r7c18,NM201903_(136465C2/161582),,1
16NM_ITC1455-MchareMlelembo_plot392_r19c14,NM201903_(136477C2/161468),,1
16NM_ITC1455-MchareMlelembo_plot366_r18c13,NM201903_(136520C2/136392),,1
16NM_Huti-white_plot148_r8c21,NM201903_(136537C2/161424),,1
16NM_ITC1468-Kahuti_plot65_r4c20,NM201903_(136549C2/161439),,1
16NM_ITC1468-Kahuti_plot60_r3c18,NM201903_(136556C2/161424),,1
16NM_ITC1460-IjihuInkundu_plot346_r17c10,NM201903_(136566C2/136510),,1
16NM_ITC1468-Kahuti_plot63_r3c21,NM201903_(136615C2/136510),,1
16NM_ITC1455-MchareMlelembo_plot360_r18c19,NM201903_(136645C2/136392),,1
16NM_Huti-white_plot141_r7c15,NM201903_(136674C2/161582),,1
16NM_Huti-white_plot737r36c20,NM201903_(152372C1/161582),,1
16NM_Huti-white_plot84r4c1,NM201903_(152378C1/161424),,1
16NM_Huti-white_plot527r26c20,NM201903_(152408C1/161582),,1
16NM_Huti-white_plot168r8c1,NM201903_(152431C1/161582),,1
16NM_Huti-white_plot145r7c19,NM201903_(152435C1/161424),,1
16NM_Huti-white_plot653r32c20,NM201903_(152450C1/161564),,1
16NM_Huti-white_plot61r3c19,NM201903_(152486C1/161424),,1
16NM_Huti-white_plot189r9c21,NM201903_(152495C1/161582),,1
16NM_Huti-white_plot694r34c21,NM201903_(152566C1/161582),,1
16NM_Huti-white_plot652r32c21,NM201903_(152574C1/161582),,1
16NM_Huti-white_plot272r13c20,NM201903_(152589C1/161468),,1
16NM_Huti-white_plot775r37c19,NM201903_(152591C1/161582),,1
16NM_Huti-white_plot294r14c1,NM201903_(152610C1/161582),,1
16NM_Huti-white_plot275r14c20,NM201903_(152615C1/161582),,1
16NM_Huti-white_plot650r31c20,NM201903_(152636C1/161582),,1
16NM_Huti-white_plot191r10c20,NM201903_(152645C1/161582),,1
16NM_Huti-white_plot108r6c19,NM201903_(152691C1/161582),,1
16NM_Huti-white_plot462r22c1,NM201903_(152695C1/161582),,1
16NM_Huti-white_plot232r12c21,NM201903_(152697C1/161582),NM201903_(152697C2/161582),2
16NM_Huti-white_plot671r32c2,NM201903_(152700C1/161582),,1
16NM_Huti-white_plot611r30c20,NM201903_(152802C1/161424),,1
16NM_Huti-white_plot314r15c20,NM201903_(152861C1/161503),,1
16NM_Huti-white_plot780r38c19,NM201903_(152892C1/161424),,1
16NM_Huti-white_plot188r9c20,NM201903_(152941C1/161424),,1
16NM_Huti-white_plot777r37c21,NM201903_(152963C1/161582),,1
16NM_Huti-white_plot317r16c20,NM201903_(152985C1/161582),,1
16NM_Huti-white_plot608r29c20,NM201903_(152986C1/161582),,1
16NM_Huti-white_plot65r4c20,NM201903_(153030C1/136510),,1
16NM_Huti-white_plot401r20c20,NM201903_(153052C1/161582),,1
16NM_Huti-white_plot253r13c1,NM201903_(153083C1/161582),,1
16NM_Huti-white_plot696r34c19,NM201903_(153098C1/161582),,1
16NM_Huti-white_plot505r25c1,NM201903_(153107C1/161468),,1
16NM_Huti-white_plot631r31c1,NM201903_(153118C1/161582),,1
16NM_Huti-white_plot66r4c19,NM201903_(153129C1/161582),,1
16NM_Huti-white_plot146r7c20,NM201903_(153170C1/161582),,1
16NM_Huti-white_plot163_r8c6,NM201904_(136305C2/161424),,1
16NM_ITC1455-MchareMlelembo_plot395_r19c17,NM201904_(136306C2/136604),,1
16NM_ITC1468-Kahuti_plot89_r5c5,NM201904_(136307C2/136604),,1
16NM_Huti-white_plot114_r6c13,NM201904_(136324C2/161554),,1
16NM_ITC1468-Kahuti_plot67_r4c18,NM201904_(136341C2/161503),,1
16NM_ITC1468-Kahuti_plot103_r5c19,NM201904_(136419C2/161582),,1
16NM_Huti-white_plot113_r6c14,NM201904_(136424C2/161582),,1
16NM_ITC1468-Kahuti_plot45_r3c3,NM201904_(136450C2/136604),,1
16NM_ITC1460-IjihuInkundu_plot309_r15c15,NM201904_(136455C2/161503),,1
16NM_ITC1460-IjihuInkundu_plot315_r15c21,NM201904_(136459C2/161582),,1
16NM_ITC1468-Kahuti_plot25_r2c18,NM201904_(136470C2/161503),,1
16NM_ITC1455-MchareMlelembo_plot439_r21c19,NM201904_(136504C2/161424),,1
16NM_ITC1468-Kahuti_plot44_r3c2,NM201904_(136523C2/161503),,1
16NM_ITC1468-Kahuti_plot20_r1c20,NM201904_(136532C2/136604),,1
16NM_ITC1468-Kahuti_plot78_r4c7,NM201904_(136541C2/161554),,1
16NM_Huti-white_plot137_r7c11,NM201904_(136555C2/161503),,1
16NM_ITC1460-IjihuInkundu_plot321_r16c16,NM201904_(136558C2/161582),,1
16NM_ITC1468-Kahuti_plot2_r1c2,NM201904_(136568C2/161503),,1
16NM_ITC1460-IjihuInkundu_plot319_r16c18,NM201904_(136584C2/136604),,1
16NM_MchareLaini_plot256_r13c4,NM201904_(136610C2/161503),,1
16NM_ITC1455-MchareMlelembo_plot359_r18c20,NM201904_(136629C2/161582),,1
16NM_MchareLaini_plot207_r10c4,NM201904_(136640C2/136604),,1
16NM_Huti-white_plot133_r7c7,NM201904_(136647C2/136677),,1
16NM_ITC1468-Kahuti_plot3_r1c3,NM201904_(136707C2/136604),,1
16NM_ITC1460-IjihuInkundu_plot356_r17c20,NM201904_(136717C2/161503),,1
16NM_Huti-white_plot164_r8c5,NM201904_(136721C2/161503),,1
16NM_Huti-white_plot695r34c20,NM201904_(152392C1/161582),,1
16NM_Huti-white_plot675r33c3,NM201904_(152400C1/136604),,1
16NM_Huti-white_plot548r27c2,NM201904_(152421C1/161582),,1
16NM_Huti-white_plot569r28c20,NM201904_(152454C1/136604),,1
16NM_Huti-white_plot778r38c21,NM201904_(152463C1/161582),,1
16NM_Huti-white_plot523r25c19,NM201904_(152467C1/136604),,1
16NM_Huti-white_plot42r2c1,NM201904_(152559C1/161554),,1
16NM_Huti-white_plot568r28c21,NM201904_(152573C1/136604),,1
16NM_Huti-white_plot296r15c2,NM201904_(152575C1/161503),,1
16NM_Huti-white_plot691r33c19,NM201904_(152625C1/161503),,1
16NM_Huti-white_plot590r29c2,NM201904_(152639C1/161503),,1
16NM_Huti-white_plot545r26c2,NM201904_(152644C1/161582),,1
16NM_Huti-white_plot588r28c1,NM201904_(152648C1/161582),,1
16NM_Huti-white_plot251r12c2,NM201904_(152659C1/161503),,1
16NM_Huti-white_plot651r31c21,NM201904_(152662C1/136604),,1
16NM_Huti-white_plot170r9c2,NM201904_(152672C1/161554),,1
16NM_Huti-white_plot566r27c20,NM201904_(152680C1/161554),,1
16NM_Huti-white_plot526r26c21,NM201904_(152681C1/161554),,1
16NM_Huti-white_plot359r18c20,NM201904_(152689C1/161582),,1
16NM_Huti-white_plot692r33c20,NM201904_(152711C1/161582),,1
16NM_Huti-white_plot40r2c3,NM201904_(152743C1/136604),,1
16NM_Huti-white_plot250r12c3,NM201904_(152747C1/161582),,1
16NM_Huti-white_plot85r5c1,NM201904_(152771C1/136604),,1
16NM_Huti-white_plot736r36c21,NM201904_(152779C1/161582),,1
16NM_Huti-white_plot233r12c20,NM201904_(152793C1/161582),,1
16NM_Huti-white_plot355r17c19,NM201904_(152865C1/161582),,1
16NM_Huti-white_plot440r21c20,NM201904_(152899C1/161554),,1
16NM_Huti-white_plot817r39c19,NM201904_(152921C1/161554),,1
16NM_Huti-white_plot738r36c19,NM201904_(152952C1/136604),,1
16NM_Huti-white_plot398r19c20,NM201904_(152994C1/161582),,1
16NM_Huti-white_plot313r15c19,NM201904_(153014C1/161503),,1
16NM_Huti-white_plot231r11c21,NM201904_(153016C1/161582),,1
16NM_Huti-white_plot86r5c2,NM201904_(153038C1/136604),,1
16NM_Huti-white_plot713r34c2,NM201904_(153101C1/161503),,1
16NM_Huti-white_plot419r20c2,NM201904_(153109C1/161554),,1
16NM_Huti-white_plot421r21c1,NM201904_(153154C1/161503),,1
16NM_Huti-white_plot318r16c19,NM201904_(153160C1/161503),,1
16NM_ITC1468-Kahuti_plot61_r3c19,NM201905_(136413C2/161446),,1
16NM_MchareLaini_plot230_r11c20,NM201905_(136414C2/161554),,1
16NM_ITC1460-IjihuInkundu_plot300_r15c6,NM201905_(136468C2/161582),,1
16NM_Huti-white_plot120_r6c7,NM201905_(136472C2/161554),,1
16NM_MchareLaini_plot247_r12c6,NM201905_(136561C2/161582),,1
16NM_ITC1468-Kahuti_plot17_r1c17,NM201905_(136567C2/161503),,1
16NM_Huti-white_plot170_r9c2,NM201905_(136613C2/161477),,1
16NM_Huti-white_plot444r22c19,NM201905_(152508C1/161503),,1
16NM_Huti-white_plot567r27c21,NM201905_(152531C1/161477),,1
16NM_Huti-white_plot506r25c2,NM201905_(152533C1/161477),,1
16NM_Huti-white_plot633r31c3,NM201905_(152599C1/161446),,1
16NM_Huti-white_plot126r6c1,NM201905_(152657C1/161554),,1
16NM_Huti-white_plot629r30c2,NM201905_(152665C1/161446),,1
16NM_Huti-white_plot591r29c3,NM201905_(152776C1/161446),,1
16NM_Huti-white_plot465r23c3,NM201905_(152848C1/161503),,1
16NM_Huti-white_plot103r5c19,NM201905_(152905C1/161503),,1
16NM_Huti-white_plot733r35c19,NM201905_(152973C1/161554),,1
16NM_Huti-white_plot169r9c1,NM201905_(152989C1/161503),,1
16NM_Huti-white_plot587r28c2,NM201905_(153006C1/161554),,1
16NM_Huti-white_plot339r17c3,NM201905_(153055C1/161477),,1
