.id,Crossnumber,Location,FemalePlotName,Mother,Cycle,MalePlotName,Father,First_Pollination_Date,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Embryo_Rescue_Date,Good_Seeds,Number_of_Embryo_Rescued,Germination_Date,Number_of_Embryo_Germinating
1,NM201810_(136564C2/136460),Arusha,16NM_ITC1460-IjihuInkundu_plot289_r14c6,ITC1460,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-10-03,2019-02-01,2019-02-15,28,2019-02-26,22,22,,
1,NM201810_(136573C2/136510),Arusha,16NM_ITC1468-Kahuti_plot82_r4c3,ITC1468,2,16NM_ITC0609-Pahang_plot169_r9c1,ITC0609 Pahang,2018-10-29,2019-02-07,,,,,,,
1,NM201810_(136582C2/136460),Arusha,16NM_ITC1468-Kahuti_plot69_r4c16,ITC1468,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-10-02,2019-03-07,,,,,,,
1,NM201810_(136588C2/136460),Arusha,16NM_Huti-white_plot187_r9c19,Huti-white,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-10-12,2019-02-27,,,,,,,
1,NM201810_(136589C2/136706),Arusha,16NM_ITC1455-MchareMlelembo_plot404_r20c17,ITC1455-Mchare Mlelembo,2,16NM_ITC0712-AAcvRose_plot85_r5c1,ITC0712,2018-10-24,2019-02-27,,,,,,,
1,NM201810_(136609C2/161424),Arusha,16NM_MchareLaini_plot216_r11c6,Mchare Laini,2,Males_ITC0609_Pahang_r1c11_plot20,ITC0609 Pahang,2018-10-03,2019-02-28,,,,,,,
1,NM201810_(136623C2/136510),Arusha,16NM_ITC1468-Kahuti_plot72_r4c13,ITC1468,2,16NM_ITC0609-Pahang_plot169_r9c1,ITC0609 Pahang,2018-10-29,2019-02-21,,,,,,,
1,NM201810_(136663C2/136460),Arusha,16NM_ITC1468-Kahuti_plot54_r3c12,ITC1468,2,16NM_ITC0712-AAcvRose_plot1_r1c1,ITC0712,2018-10-02,,,,,,,,
1,NM201810_(136668C2/136295),Arusha,16NM_ITC1460-IjihuInkundu_plot322_r16c15,ITC1460,2,16NM_ITC0712-AAcvRose_plot84_r4c1,ITC0712,2018-10-19,,,,,,,,
1,NM201810_(136669C2/136357),Arusha,16NM_ITC1460-IjihuInkundu_plot353_r17c17,ITC1460,2,16NM_ITC0609-Pahang_plot168_r8c1,ITC0609 Pahang,2018-10-18,,,,,,,,
