PlotName,PlotID,TrialName
16NM_ITC1468-Kahuti_plot95_r5c11,136529,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot400_r20c21,136530,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot313_r15c19,136531,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot20_r1c20,136532,2016 NM_Pollination block
16NM_Huti-white_plot109_r6c18,136533,2016 NM_Pollination block
16NM_MchareLaini_plot231_r11c21,136534,2016 NM_Pollination block
16NM_MchareLaini_plot243_r12c10,136535,2016 NM_Pollination block
16NM_Huti-white_plot151_r8c18,136536,2016 NM_Pollination block
16NM_Huti-white_plot148_r8c21,136537,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot343_r17c7,136538,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot287_r14c8,136539,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot78_r4c7,136541,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot441_r21c21,136540,2016 NM_Pollination block
16NM_ITC0299-Guyod_plot294_r14c1,136544,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot397_r19c19,136543,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot413_r20c8,136542,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot349_r17c13,136545,2016 NM_Pollination block
16NM_Huti-white_plot106_r6c21,136546,2016 NM_Pollination block
16NM_Huti-white_plot157_r8c12,136548,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot275_r14c20,136547,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot65_r4c20,136549,2016 NM_Pollination block
16NM_MchareLaini_plot197_r10c14,136550,2016 NM_Pollination block
16NM_MchareLaini_plot203_r10c8,136551,2016 NM_Pollination block
16NM_MchareLaini_plot261_r13c9,136552,2016 NM_Pollination block
16NM_Huti-white_plot138_r7c12,136553,2016 NM_Pollination block
16NM_Huti-white_plot137_r7c11,136555,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot81_r4c4,136554,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot60_r3c18,136556,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot321_r16c16,136558,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot432_r21c12,136557,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot86_r5c2,136560,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot284_r14c11,136559,2016 NM_Pollination block
16NM_MchareLaini_plot247_r12c6,136561,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot371_r18c8,136562,2016 NM_Pollination block
16NM_MchareLaini_plot204_r10c7,136563,2016 NM_Pollination block
16NM_Huti-white_plot165_r8c4,136565,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot289_r14c6,136564,2016 NM_Pollination block
16NM_ITC1460-IjihuInkundu_plot346_r17c10,136566,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot2_r1c2,136568,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot17_r1c17,136567,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot435_r21c15,136569,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot401_r20c20,136571,2016 NM_Pollination block
16NM_ITC1455-MchareMlelembo_plot427_r21c7,136570,2016 NM_Pollination block
16NM_Huti-white_plot186_r9c18,136572,2016 NM_Pollination block
16NM_Huti-white_plot110_r6c17,136574,2016 NM_Pollination block
16NM_ITC1468-Kahuti_plot82_r4c3,136573,2016 NM_Pollination block
16NM_Huti-white_plot147_r7c21,136575,2016 NM_Pollination block
