location,crossnumber,motherAccessionName,fatherAccessionName,firstpollination_date,harvesting_date,days_to_maturity,seed_extraction_date,days_harvest_extraction,total_seeds,good_seeds,badseeds,number_rescued,rescue_date,days_extraction_rescue,germination_after_8weeks_date,actively_germination_after_8weeks,contamination
Arusha,T1689,TMB2x 9128-3,Paliama,2015-07-07,2015-10-17,102,2015-10-25,8,0,,,,,,,,
Arusha,T1691,IITA 02145/1320,Zebrina GF,2015-07-08,2016-03-14,250,2016-03-21,7,0,,,,,,,,
Arusha,T1692,Nshonowa,Calcutta 4,2015-07-08,2015-12-02,147,2015-12-10,8,0,,,,,,,,
Arusha,T1698,cv-Rose,Guyod,2015-07-14,2016-02-10,211,2016-02-19,9,0,,,,,,,,
Arusha,T1700,Akondro mainty,Borneo,2015-07-14,2016-01-13,183,2016-01-26,13,0,,,,,,,,
Arusha,T1706,Nshonowa,Borneo,2015-07-20,2015-12-02,135,2015-12-10,8,0,,,,,,,,
Arusha,T1707,Akondro mainty,Calcutta 4,2015-07-20,2015-12-22,155,2016-01-07,16,0,,,,,,,,
Arusha,T1708,Akondro mainty,Borneo,2015-07-20,2015-12-15,148,2015-12-22,7,0,,,,,,,,
Arusha,T1712,Pahang,Guyod,2015-07-27,2015-12-03,129,2015-12-10,7,0,,,,,,,,
Arusha,T1713,Kisukari Mchare,Borneo,2015-07-27,2016-01-11,168,2016-01-20,9,0,,,,,,,,
Arusha,T1714,Akondro mainty,Calcutta 4,2015-07-27,2016-01-13,170,2016-01-26,13,0,,,,,,,,
Arusha,T1716,Akondro mainty,cv-Rose,2015-07-28,2016-01-13,169,2016-01-26,13,0,,,,,,,,
Arusha,T1719,cv-Rose,Paliama,2015-08-03,2016-01-26,176,2016-02-01,6,0,,,,,,,,
Arusha,T1720,cv-Rose,Guyod,2015-08-03,2016-03-29,239,2016-04-06,8,0,,,,,,,,
Arusha,T1722,Kisukari Mchare,Borneo,2015-08-03,2015-12-15,134,2015-12-22,7,0,,,,,,,,
Arusha,T1723,IITA 02145/1320,cv-Rose,2015-08-04,2016-02-24,204,2016-03-03,8,0,,,,,,,,
Arusha,T1724,Akondro mainty,Calcutta 4,2015-08-04,2016-01-13,162,2016-01-26,13,4,3,1,3,2016-01-29,,2016-03-29,1,0
Arusha,T1725,Akondro mainty,cv-Rose,2015-08-04,2016-01-11,160,2016-01-20,9,0,,,,,,,,
Arusha,T1726,cv-Rose,Paliama,2015-08-05,2016-02-10,189,2016-02-19,9,0,,,,,,,,
Arusha,T1730,Nshonowa,Borneo,2015-08-10,2015-12-22,134,2016-01-07,16,0,,,,,,,,
Arusha,T1733,cv-Rose,Guyod,2015-08-10,2015-12-02,114,2015-12-10,8,0,,,,,,,,
Arusha,T1734,cv-Rose,Paliama,2015-08-10,2016-01-13,156,2016-01-26,13,0,,,,,,,,
Arusha,T1739,Tjau Lagada,cv-Rose,2015-08-15,2016-03-10,208,2016-03-17,7,0,,,,,,,,
Arusha,T1742,Guyod,Paliama,2015-08-17,2016-01-13,149,2016-01-26,13,0,,,,,,,,
Arusha,T1745,Kisukari Mchare,Borneo,2015-08-17,2016-01-13,149,2016-01-26,13,0,,,,,,,,
Arusha,T1747,Akondro mainty,cv-Rose,2015-08-20,2016-02-24,188,2016-03-03,8,0,,,,,,,,
Arusha,T1751,Kisukari Mchare,Calcutta 4,2015-08-24,2016-01-11,140,2016-01-20,9,0,,,,,,,,
Arusha,T1752,Akondro mainty,Borneo,2015-08-24,2016-02-10,170,2016-02-19,9,0,,,,,,,,
Arusha,T1753,Huti-white,cv-Rose,2015-08-25,2016-02-10,169,2016-02-19,9,2,1,1,1,2016-02-25,6,2016-04-25,0,
Arusha,T1755,Kisukari Mchare,Calcutta 4,2015-08-25,2016-01-13,141,2016-01-26,13,0,,,,,-42395,,,
Arusha,T1758,Akondro mainty,Borneo,2015-08-28,2016-01-13,138,2016-01-26,13,2,0,2,1,2016-02-29,34,2016-04-29,0,
Arusha,T1759,Kisukari Mchare,Borneo,2015-08-31,2016-01-11,133,2016-01-20,9,0,,,,,,,,
Arusha,T1760,Kisukari Mchare,Borneo,2015-08-31,2016-02-10,163,2016-02-19,9,0,,,,,,,,
Arusha,T1761,Kisukari Mchare,Calcutta 4,2015-08-31,2016-01-20,142,2016-01-26,6,0,,,,,,,,
Arusha,T1764,cv-Rose,Paliama,2015-08-31,2016-02-24,177,2016-03-03,8,0,,,,,,,,
Arusha,T1768,Huti-white,Borneo,2015-09-01,2016-02-03,155,2016-02-11,8,18,15,3,17,2016-02-17,6,2016-04-17,9,0
Arusha,T1773,Nshonowa,Calcutta 4,2015-09-02,2016-01-13,133,2016-01-26,13,0,,,,,,,,
Arusha,T1775,IITA 02145/1320,cv-Rose,2015-09-07,2016-03-14,189,2016-03-21,7,0,,,,,,,,
Arusha,T1779,Huti-white,Calcutta 4,2015-09-08,2016-02-10,155,2016-02-19,9,0,,,,,,,,
Arusha,T1781,Akondro mainty,Calcutta 4,2015-09-10,2016-02-24,167,2016-03-03,8,0,,,,,,,,
Arusha,T1782,Kisukari Mchare,Calcutta 4,2015-09-14,2016-03-14,182,2016-03-21,7,0,,,,,,,,
Arusha,T1784,Kisukari Mchare,Borneo,2015-09-14,2016-02-10,149,2016-02-19,9,0,,,,,,,,
Arusha,T1785,Akondro mainty,cv-Rose,2015-09-14,2016-03-10,178,2016-03-17,7,0,,,,,,,,
Arusha,T1786,Akondro mainty,Calcutta 4,2015-09-14,2016-03-14,182,2016-03-21,7,0,,,,,,,,
Arusha,T1790,Akondro mainty,Borneo,2015-09-14,2016-02-18,157,2016-02-24,6,1,0,1,0,2016-02-25,1,2016-04-25,0,
Arusha,T1791,Kwaro,Malaccensis,2015-09-15,2016-03-10,177,2016-03-17,7,0,,,,,,,,
Arusha,T1792,Nshonowa,Borneo,2015-09-16,2016-02-04,141,2016-02-11,7,0,,,,,,,,
Arusha,T1794,cv-Rose,Huti - White,2015-09-16,2016-02-10,147,2016-02-19,9,0,,,,,,,,
Arusha,T1801,Kisukari Mchare,Calcutta 4,2015-09-21,2016-02-17,149,2016-02-23,6,0,,,,,,,,
Arusha,T1802,Nshonowa,Calcutta 4,2015-09-22,2016-02-04,135,2016-02-11,7,0,,,,,,,,
Arusha,T1803,Mchare Laini,cv-Rose,2015-09-22,2016-02-04,135,2016-02-11,7,0,,,,,,,,
Arusha,T1805,Nshonowa,Borneo,2015-09-25,2016-02-10,138,2016-02-19,9,0,,,,,,,,
Arusha,T1806,Huti-white,cv-Rose,2015-09-25,2016-02-24,152,2016-03-03,8,0,,,,,,,,
Arusha,T1810,Kisukari Mchare,Calcutta 4,2015-09-28,2016-02-17,142,2016-02-23,6,0,,,,,,,,
Arusha,T1813,Kisukari Mchare,Borneo,2015-09-28,2016-02-10,135,2016-02-19,9,0,,,,,,,,
Arusha,T1814,Kisukari Mchare,Borneo,2015-09-28,2016-02-24,149,2016-03-03,8,0,,,,,,,,
Arusha,T1817,Huti-white,cv-Rose,2015-09-28,2016-03-03,157,2016-03-10,7,0,,,,,,,,
Arusha,T1819,Akondro mainty,Calcutta 4,2015-09-29,2016-02-17,141,2016-02-23,6,0,,,,,,,,
Arusha,T1821,Guyod,cv-Rose,2015-09-29,2016-03-10,163,2016-03-17,7,0,,,,,,,,
Arusha,T1822,Akondro mainty,cv-Rose,2015-10-02,2016-03-14,164,2016-03-21,7,0,,,,,,,,
Arusha,T1823,Akondro mainty,Calcutta 4,2015-10-02,2016-02-24,145,2016-03-03,8,0,,,,,,,,
Arusha,T1824,Akondro mainty,Borneo,2015-10-02,2016-02-10,131,2016-02-19,9,0,,,,,,,,
Arusha,T1826,Huti-white,Calcutta 4,2015-10-02,2016-03-03,153,2016-03-10,7,1,1,0,1,2016-03-11,1,2016-05-10,1,
Arusha,T1829,Akondro mainty,cv-Rose,2015-10-05,2016-03-14,161,2016-03-21,7,0,,,,,,,,
Arusha,T1830,Kisukari Mchare,Borneo,2015-10-05,2016-02-10,128,2016-02-19,9,0,,,,,,,,
Arusha,T1833,Nshonowa,Borneo,2015-10-06,2016-02-10,127,2016-02-18,8,15,6,9,4,2016-02-19,,2016-04-19,1,
Arusha,T1834,Nshonowa,Borneo,2015-10-07,2016-02-10,126,2016-02-19,9,0,,,,,,,,
Arusha,T1835,Kisukari Mchare,Borneo,2015-10-07,2016-03-14,159,2016-03-21,7,0,,,,,,,,
Arusha,T1836,Kisukari Mchare,Calcutta 4,2015-10-07,2016-02-24,140,2016-03-03,8,0,,,,,,,,
Arusha,T1838,Akondro mainty,Calcutta 4,2015-10-07,2016-03-10,155,2016-03-17,7,0,,,,,,,,
Arusha,T1841,Akondro mainty,Borneo,2015-10-08,2016-02-18,133,2016-02-24,6,2,0,2,0,2016-02-25,1,2016-04-25,0,
Arusha,T1842,Huti-white,cv-Rose,2015-10-09,2016-03-03,146,2016-03-10,7,49,23,7,23,2016-03-11,1,2016-05-10,22,
Arusha,T1844,Kisukari Mchare,Borneo,2015-10-12,2016-02-17,128,2016-02-23,6,0,,,,,,,,
Arusha,T1845,Akondro mainty,Calcutta 4,2015-10-12,2016-03-14,154,2016-03-21,7,0,,,,,,,,
Arusha,T1846,Kisukari Mchare,Calcutta 4,2015-10-14,2016-02-24,133,2016-03-03,8,0,,,,,,,,
Arusha,T1849,Kisukari Mchare,Calcutta 4,2015-10-15,2016-03-10,147,2016-03-17,7,0,,,,,,,,
Arusha,T1850,Kisukari Mchare,Borneo,2015-10-15,2016-03-29,166,2016-04-06,8,0,,,,,,,,
Arusha,T1851,Kisukari Mchare,Calcutta 4,2015-10-15,2016-03-14,151,2016-03-21,7,0,,,,,,,,
Arusha,T1852,Huti-white,Calcutta 4,2015-10-16,2016-02-10,117,2016-02-19,9,0,,,,,,,,
