.id,Crossnumber,Location,FemalePlotName,Mother,Cycle,MalePlotName,Father,First_Pollination_Date,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Embryo_Rescue_Date,Good_Seeds,Number_of_Embryo_Rescued,Germination_Date,Number_of_Embryo_Germinating
1,SE201901_(162612C1/132330),Sendusu,Enzirabahima_14_Phase1_R25C18,ITC1354,1,17-8075-7_R3C1_plot31,8075-7,2018-10-31,,,,,,,,
1,SE201901_(162614C1/132709),Sendusu,Nfuuka_14_Phase1_R13C11,Nfuuka,1,17-SH3217_R14C1_plot196,SH3217,2019-01-14,,,,,,,,
1,SE201901_(162620C1/132625),Sendusu,Nakasabira_14_Phase1_R32C14,Nakasabira,1,17-SH3362_R19C7_plot277,SH3362,2018-10-19,,,,,,,,
1,SE201901_(162627C1/132640),Sendusu,Enzirabahima_14_Phase1_R26C11,ITC1354,1,17-5265-1_R9C3_plot123,TMB2X5265-1,2019-01-17,,,,,,,,
1,SE201901_(162672C1/132379),Sendusu,Nfuuka_14_Phase1_R14C10,Nfuuka,1,17-9128-3_R4C4_plot49,9128-3,2019-01-11,,,,,,,,
1,SE201901_(162685C1/132709),Sendusu,Nakasabira_14_Phase1_R31C3,Nakasabira,1,17-SH3217_R14C1_plot196,SH3217,2018-10-19,,,,,,,,
1,SE201901_(162701C1/132379),Sendusu,Entukura_14_Phase1_R6C6,Entukura,1,17-9128-3_R4C4_plot49,9128-3,2019-01-17,,,,,,,,
1,SE201901_(162726C1/132433),Sendusu,Tereza_14_Phase1_R18C2,Tereza,1,17-5265-1_R8C8_plot113,TMB2X5265-1,2019-01-18,,,,,,,,
1,SE201901_(162727C1/132566),Sendusu,Entukura_14_Phase1_R4C18,Entukura,1,17-8075-7_R1C2_plot2,8075-7,2018-10-19,,,,,,,,
1,SE201901_(162755C1/132649),Sendusu,Enzirabahima_14_Phase1_R25C5,ITC1354,1,17-9128-3_R4C11_plot56,9128-3,2018-11-14,,,,,,,,
1,SE201901_(162758C1/132709),Sendusu,Tereza_14_Phase1_R17C17,Tereza,1,17-SH3217_R14C1_plot196,SH3217,2019-01-17,,,,,,,,
1,SE201901_(162776C1/132696),Sendusu,Entukura_14_Phase1_R4C2,Entukura,1,17-8075-7_R1C3_plot3,8075-7,2019-01-05,,,,,,,,
1,SE201901_(162786C1/132635),Sendusu,Enzirabahima_14_Phase1_R27C17,ITC1354,1,17-7197-2_R12C2_plot167,7197-2,2019-01-14,,,,,,,,
1,SE201901_(162799C1/132348),Sendusu,Nakasabira_14_Phase1_R33C6,Nakasabira,1,17-7197-2_R11C3_plot153,7197-2,2019-01-15,,,,,,,,
1,SE201901_(162814C1/132379),Sendusu,Tereza_14_Phase1_R18C11,Tereza,1,17-9128-3_R4C4_plot49,9128-3,2019-01-17,,,,,,,,
1,SE201901_(162861C1/132505),Sendusu,Nakasabira_14_Phase1_R32C10,Nakasabira,1,17-SH3217_R13C3_plot183,SH3217,2018-11-14,2019-02-11,2019-02-21,0,,,,,
1,SE201901_(162873C1/132635),Sendusu,Enzirabahima_14_Phase1_R26C18,ITC1354,1,17-7197-2_R12C2_plot167,7197-2,2018-10-16,,,,,,,,
1,SE201901_(162889C1/132625),Sendusu,Entukura_14_Phase1_R6C4,Entukura,1,17-SH3362_R19C7_plot277,SH3362,2019-01-21,,,,,,,,
1,SE201901_(162921C1/132316),Sendusu,Nfuuka_14_Phase1_R15C2,Nfuuka,1,17-8075-7_R2C1_plot16,8075-7,2019-01-17,,,,,,,,
1,SE201901_(162945C1/132433),Sendusu,Entukura_14_Phase2_R6C7,Entukura,1,17-5265-1_R8C8_plot113,TMB2X5265-1,2019-01-15,,,,,,,,
1,SE201901_(162983C1/132425),Sendusu,Nakyetengu_14_Phase2_R9C10,IITA-Nakyetengu,1,17-9128-3_R5C1_plot61,9128-3,2018-10-16,2019-03-15,,,,,,,
1,SE201901_(163002C1/132635),Sendusu,Nakasabira_14_Phase2_R33C6,Nakasabira,1,17-7197-2_R12C2_plot167,7197-2,2019-01-15,,,,,,,,
1,SE201901_(163003C1/132625),Sendusu,Nakasabira_14_Phase2_R31C8,Nakasabira,1,17-SH3362_R19C7_plot277,SH3362,2018-11-14,2019-02-11,2019-02-21,2,,,,,
1,SE201901_(163020C1/132512),Sendusu,Nakasabira_14_Phase2_R32C3,Nakasabira,1,17-7197-2_R12C4_plot169,7197-2,2018-10-31,,,,,,,,
1,SE201901_(163058C1/132381),Sendusu,Tereza_14_Phase2_R16C9,Tereza,1,17-8075-7_R2C9_plot24,8075-7,2019-01-19,,,,,,,,
1,SE201901_(163080C1/132576),Sendusu,Tereza_14_Phase2_R16C1,Tereza,1,17-SH3362_R18C13_plot268,SH3362,2019-01-18,,,,,,,,
1,SE201901_(163108C1/132505),Sendusu,Nfuuka_14_Phase2_R13C10,Nfuuka,1,17-SH3217_R13C3_plot183,SH3217,2018-10-31,,,,,,,,
1,SE201901_(163145C1/132624),Sendusu,Entukura_14_Phase2_R6C2,Entukura,1,17-5265-1_R8C3_plot108,TMB2X5265-1,2019-01-18,,,,,,,,
1,SE201901_(163161C1/132624),Sendusu,Entukura_14_Phase2_R4C9,Entukura,1,17-5265-1_R8C3_plot108,TMB2X5265-1,2018-10-31,,,,,,,,
1,SE201901_(163203C1/132696),Sendusu,Entukura_16_Phase3_R5C1,Entukura,1,17-8075-7_R1C3_plot3,8075-7,2019-01-19,,,,,,,,
1,SE201901_(163237C1/132548),Sendusu,Kazirakwe_16_Phase3_R28C6,ITC1355,1,17-9128-3_R5C5_plot65,9128-3,2019-01-08,,,,,,,,
1,SE201901_(163254C1/132441),Sendusu,Nakyetengu_16_Phase3_R8C9,IITA-Nakyetengu,1,17-5265-1_R8C2_plot107,TMB2X5265-1,2018-10-23,,,,,,,,
1,SE201901_(163293C1/132640),Sendusu,Entukura_16_Phase3_R6C6,Entukura,1,17-5265-1_R9C3_plot123,TMB2X5265-1,2019-01-14,,,,,,,,
1,SE201902_(162353C1/132410),Sendusu,29275S-1_14_R8P1,29275S-1,1,17-8075-7_R1C5_plot5,8075-7,2019-02-15,,,,,,,,
1,SE201902_(162368C1/132466),Sendusu,25974S-17_14_R4P1,25974S-17,1,17-8075-7_R1C1_plot1,8075-7,2019-02-14,,,,,,,,
1,SE201902_(162371C1/132494),Sendusu,29275S-1_14_R8P8,29275S-1,1,17-7197-2_R11C8_plot158,7197-2,2019-02-14,,,,,,,,
1,SE201902_(162421C1/132608),Sendusu,29275S-1_14_R7P3,29275S-1,1,17-8075-7_R3C3_plot33,8075-7,2019-02-14,,,,,,,,
1,SE201902_(162427C1/132325),Sendusu,29275S-1_14_R8P2,29275S-1,1,17-10969s-1_R22C1_plot316,10969S-1,2019-02-20,,,,,,,,
1,SE201902_(162449C1/132494),Sendusu,29275S-4_14_R2P2,29275S-4,1,17-7197-2_R11C8_plot158,7197-2,2019-02-15,,,,,,,,
