Location,Crossnumber,FemalePlotName,Mother,Cycle,MalePlotName,Father,First_Pollination_Date,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Good_Seeds,Number_of_Embryo_Rescued,Embryo_Rescue_Date,Germination_after_2_Weeks_Date,Active_after_2_Weeks,Germination_after_8_Weeks_Date,Active_after_8_Weeks,Days_to_Maturity,Days_in_ripening_shed
Sendusu,SE201812_(163073C1/132608),Entukura_14_Phase2_R4C10,Entukura,1,17-8075-7_R3C3_plot33,8075-7,2018-12-15,,,,,,,,,,,,
Sendusu,SE201812_(163091C1/132608),Nakasabira_14_Phase2_R32C1,Nakasabira,1,17-8075-7_R3C3_plot33,8075-7,2018-12-08,,,,,,,,,,,,
Sendusu,SE201812_(163113C1/132505),Kabucuragye_14_Phase2_R20C6,Kabucuragye,1,17-SH3217_R13C3_plot183,SH3217,2018-12-12,,,,,,,,,,,,
Sendusu,SE201812_(163127C1/132533),Nakyetengu_14_Phase2_R7C10,IITA-Nakyetengu,1,17-8075-7_R2C5_plot20,8075-7,2018-12-04,,,,,,,,,,,,
Sendusu,SE201812_(163135C1/132514),Enzirabahima_14_Phase2_R25C5,ITC1354,1,17-7197-2_R12C6_plot171,7197-2,2018-12-24,,,,,,,,,,,,
Sendusu,SE201812_(163136C1/132709),Kabucuragye_14_Phase2_R19C10,Kabucuragye,1,17-SH3217_R14C1_plot196,SH3217,2018-12-03,,,,,,,,,,,,
Sendusu,SE201812_(163139C1/132316),Nakasabira_14_Phase2_R33C9,Nakasabira,1,17-8075-7_R2C1_plot16,8075-7,2018-12-26,,,,,,,,,,,,
Sendusu,SE201812_(163146C1/132452),Nakasabira_14_Phase2_R31C9,Nakasabira,1,17-9128-3_R4C7_plot52,9128-3,2018-12-12,,,,,,,,,,,,
Sendusu,SE201812_(163172C1/132379),Nakyetengu_16_Phase3_R7C2,IITA-Nakyetengu,1,17-9128-3_R4C4_plot49,9128-3,2018-12-05,,,,,,,,,,,,
Sendusu,SE201812_(163201C1/132522),Nakyetengu_16_Phase3_R7C1,IITA-Nakyetengu,1,17-5265-1_R9C5_plot125,TMB2X5265-1,2018-12-14,,,,,,,,,,,,
Sendusu,SE201812_(163215C1/132484),Tereza_16_Phase3_R18C4,Tereza,1,17-7197-2_R12C12_plot177,7197-2,2018-12-05,,,,,,,,,,,,
Sendusu,SE201812_(163218C1/132505),Nakasabira_16_Phase3_R31C1,Nakasabira,1,17-SH3217_R13C3_plot183,SH3217,2018-12-26,,,,,,,,,,,,
Sendusu,SE201812_(163219C1/132522),Enzirabahima_16_Phase3_R25C3,ITC1354,1,17-5265-1_R9C5_plot125,TMB2X5265-1,2018-12-07,,,,,,,,,,,,
Sendusu,SE201812_(163251C1/132649),Kazirakwe_16_Phase3_R29C1,ITC1355,1,17-9128-3_R4C11_plot56,9128-3,2018-12-03,,,,,,,,,,,,
Sendusu,SE201812_(163253C1/132379),Kabucuragye_16_Phase3_R21C5,Kabucuragye,1,17-9128-3_R4C4_plot49,9128-3,2018-12-17,,,,,,,,,,,,
Sendusu,SE201812_(163264C1/132514),Kazirakwe_16_Phase3_R28C1,ITC1355,1,17-7197-2_R12C6_plot171,7197-2,2018-12-05,,,,,,,,,,,,
Sendusu,SE201812_(163287C1/132697),Enzirabahima_16_Phase3_R26C10,ITC1354,1,17-SH3217_R13C5_plot185,SH3217,2018-12-13,,,,,,,,,,,,
Sendusu,SE201812_(163316C1/132373),Kazirakwe_16_Phase3_R28C9,ITC1355,1,17-7197-2_R12C3_plot168,7197-2,2018-12-04,,,,,,,,,,,,
